The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Period,Month,1+Daily Returns,1+Vwretd,1+SPrtrn
GreenSky Inc,5/24/2018,17795,8/7/2018,-0.109279,0.002255,0.002824,,,0.890721,1.002255,1.002824
GreenSky Inc,5/24/2018,17795,8/8/2018,-0.039662,-0.00027,-0.000262,,,0.960338,0.99973,0.999738
GreenSky Inc,5/24/2018,17795,8/9/2018,-0.071586,-0.000291,-0.001442,,,0.928414,0.999709,0.998558
GreenSky Inc,5/24/2018,17795,8/10/2018,-0.075326,-0.006335,-0.007114,,,0.924674,0.993665,0.992886
GreenSky Inc,5/24/2018,17795,8/13/2018,-0.069917,-0.004685,-0.004006,,,0.930083,0.995315,0.995994
GreenSky Inc,5/24/2018,17795,8/14/2018,0.061379,0.006617,0.006389,,,1.061379,1.006617,1.006389
GreenSky Inc,5/24/2018,17795,8/15/2018,0.033788,-0.00908,-0.007602,,,1.033788,0.99092,0.992398
GreenSky Inc,5/24/2018,17795,8/16/2018,0.106851,0.008016,0.007919,,,1.106851,1.008016,1.007919
GreenSky Inc,5/24/2018,17795,8/17/2018,0.036911,0.003866,0.003323,,,1.036911,1.003866,1.003323
GreenSky Inc,5/24/2018,17795,8/20/2018,-0.019168,0.002833,0.002428,,,0.980832,1.002833,1.002428
GreenSky Inc,5/24/2018,17795,8/21/2018,0.018984,0.003128,0.002069,,,1.018984,1.003128,1.002069
GreenSky Inc,5/24/2018,17795,8/22/2018,-0.006575,0.00073,-0.000398,,,0.993425,1.00073,0.999602
GreenSky Inc,5/24/2018,17795,8/23/2018,0.003861,-0.002437,-0.001691,-0.013550594,3,1.003861,0.997563,0.998309
GreenSky Inc,5/24/2018,17795,8/24/2018,0.068681,0.006245,0.006199,,,1.068681,1.006245,1.006199
GreenSky Inc,5/24/2018,17795,8/27/2018,-0.017995,0.007157,0.00767,,,0.982005,1.007157,1.00767
GreenSky Inc,5/24/2018,17795,8/28/2018,0.009424,0.000006,0.000269,,,1.009424,1.000006,1.000269
GreenSky Inc,5/24/2018,17795,8/29/2018,0.02334,0.005183,0.005701,,,1.02334,1.005183,1.005701
GreenSky Inc,5/24/2018,17795,8/30/2018,0.011657,-0.004428,-0.00443,,,1.011657,0.995572,0.99557
GreenSky Inc,5/24/2018,17795,8/31/2018,0.014529,0.000301,0.000134,,,1.014529,1.000301,1.000134
GreenSky Inc,5/24/2018,17795,9/4/2018,-0.019753,-0.002248,-0.001654,,,0.980247,0.997752,0.998346
GreenSky Inc,5/24/2018,17795,9/5/2018,-0.034761,-0.003502,-0.002803,,,0.965239,0.996498,0.997197
GreenSky Inc,5/24/2018,17795,9/6/2018,-0.030271,-0.003967,-0.003652,,,0.969729,0.996033,0.996348
GreenSky Inc,5/24/2018,17795,9/7/2018,0.022605,-0.002371,-0.002213,,,1.022605,0.997629,0.997787
GreenSky Inc,5/24/2018,17795,9/10/2018,0.043684,0.002274,0.001898,,,1.043684,1.002274,1.001898
GreenSky Inc,5/24/2018,17795,9/11/2018,0.016137,0.00323,0.00374,,,1.016137,1.00323,1.00374
GreenSky Inc,5/24/2018,17795,9/12/2018,-0.008437,0.000829,0.000357,,,0.991563,1.000829,1.000357
GreenSky Inc,5/24/2018,17795,9/13/2018,0,0.004324,0.005282,,,1,1.004324,1.005282
GreenSky Inc,5/24/2018,17795,9/14/2018,-0.007507,0.000904,0.000275,,,0.992493,1.000904,1.000275
GreenSky Inc,5/24/2018,17795,9/17/2018,-0.025214,-0.005975,-0.00557,,,0.974786,0.994025,0.99443
GreenSky Inc,5/24/2018,17795,9/18/2018,0.021728,0.005494,0.005369,,,1.021728,1.005494,1.005369
GreenSky Inc,5/24/2018,17795,9/19/2018,0.022785,0.000524,0.001253,,,1.022785,1.000524,1.001253
GreenSky Inc,5/24/2018,17795,9/20/2018,-0.016832,0.00785,0.007841,,,0.983168,1.00785,1.007841
GreenSky Inc,5/24/2018,17795,9/21/2018,0.01863,-0.001043,-0.000369,,,1.01863,0.998957,0.999631
GreenSky Inc,5/24/2018,17795,9/24/2018,-0.017795,-0.003703,-0.003516,0.021593293,4,0.982205,0.996297,0.996484
GreenSky Inc,5/24/2018,17795,9/25/2018,-0.007046,-0.000509,-0.001305,,,0.992954,0.999491,0.998695
GreenSky Inc,5/24/2018,17795,9/26/2018,-0.047643,-0.004024,-0.003289,,,0.952357,0.995976,0.996711
GreenSky Inc,5/24/2018,17795,9/27/2018,-0.012241,0.002401,0.002763,,,0.987759,1.002401,1.002763
GreenSky Inc,5/24/2018,17795,9/28/2018,-0.030172,0.00009,-0.000007,,,0.969828,1.00009,0.999993
GreenSky Inc,5/24/2018,17795,10/1/2018,0.000556,0.001786,0.003641,,,1.000556,1.001786,1.003641
GreenSky Inc,5/24/2018,17795,10/2/2018,-0.012215,-0.002262,-0.000397,,,0.987785,0.997738,0.999603
GreenSky Inc,5/24/2018,17795,10/3/2018,0.000562,0.001625,0.000711,,,1.000562,1.001625,1.000711
GreenSky Inc,5/24/2018,17795,10/4/2018,-0.023034,-0.00931,-0.00817,,,0.976966,0.99069,0.99183
GreenSky Inc,5/24/2018,17795,10/5/2018,-0.049454,-0.006058,-0.005528,,,0.950546,0.993942,0.994472
GreenSky Inc,5/24/2018,17795,10/8/2018,-0.032063,-0.001348,-0.000395,,,0.967937,0.998652,0.999605
GreenSky Inc,5/24/2018,17795,10/9/2018,0.009375,-0.001788,-0.001418,,,1.009375,0.998212,0.998582
GreenSky Inc,5/24/2018,17795,10/10/2018,-0.055728,-0.031351,-0.032864,,,0.944272,0.968649,0.967136
GreenSky Inc,5/24/2018,17795,10/11/2018,0.007869,-0.018802,-0.020573,,,1.007869,0.981198,0.979427
GreenSky Inc,5/24/2018,17795,10/12/2018,-0.002602,0.012278,0.014206,,,0.997398,1.012278,1.014206
GreenSky Inc,5/24/2018,17795,10/15/2018,0.011089,-0.003655,-0.005905,,,1.011089,0.996345,0.994095
GreenSky Inc,5/24/2018,17795,10/16/2018,0.036774,0.02147,0.021496,,,1.036774,1.02147,1.021496
GreenSky Inc,5/24/2018,17795,10/17/2018,-0.001867,-0.001386,-0.000253,,,0.998133,0.998614,0.999747
GreenSky Inc,5/24/2018,17795,10/18/2018,-0.041771,-0.014622,-0.014392,,,0.958229,0.985378,0.985608
GreenSky Inc,5/24/2018,17795,10/19/2018,-0.009109,-0.001816,-0.000361,,,0.990891,0.998184,0.999639
GreenSky Inc,5/24/2018,17795,10/22/2018,-0.015102,-0.003901,-0.004299,,,0.984898,0.996099,0.995701
GreenSky Inc,5/24/2018,17795,10/23/2018,-0.042,-0.005977,-0.005512,-0.271668494,5,0.958,0.994023,0.994488
GreenSky Inc,5/24/2018,17795,10/24/2018,-0.067502,-0.030628,-0.030864,,,0.932498,0.969372,0.969136
